,ADM,CREDITO,ENTRADA,PRAZO,PARCELAS,STATUS,VENCIMENTO,TRANSFERENCIA,COD
Auto,TRADIÇÃO,15.000,7.800,72,260,Disponivel,10/09/2025,Consultar,C131
Auto,HS,24.150,12.700,96,304,Disponivel,Consultar,340,C23
Auto,HS,24.250,13.000,88,325,Disponivel,Consultar,340,C23
Auto,HS,24.900,13.100,89,317,Disponivel,Consultar,340,C23
Auto,HS,25.800,13.550,81,346,Disponivel,Consultar,358,C23
Auto,HS,26.050,13.500,77,365,Disponivel,Consultar,354,C23
Auto,HS,26.350,13.900,72,376,Disponivel,Consultar,371,C23
Auto,HS,26.650,17.950,27,628,Disponivel,Consultar,379,C23
Auto,HS,26.700,13.400,70,423,Disponivel,Consultar,370,C23
Auto,HS,26.850,14.300,73,375,Disponivel,Consultar,372,C23
Auto,SANTANDER,28.100,19.500,56,358,Disponivel,15/09/2025,700,C117
Auto,HS,28.450,14.000,89,375,Disponivel,Consultar,400,C23
Auto,HS,29.150,15.600,12,1.672,Disponivel,Consultar,690,C23
Auto,SERVOPA,29.398,14.800,38,711,Disponivel,08/09/2025,270,C155
Auto,SERVOPA,29.457,13.960,39,712,Disponivel,08/09/2025,450,C155
Auto,ITAU,29.926,11.700,32,1.073,Disponivel,15/09/2025,650,C131
Auto,HS,30.550,20.150,47,393,Disponivel,Consultar,435,C23
Auto,HS,31.150,16.450,62,513,Disponivel,Consultar,432,C23
Auto,HS,31.300,19.550,38,507,Disponivel,Consultar,466,C23
Auto,HS,32.300,17.900,42,583,Disponivel,10/09/2025,Consultar,C07
Auto,PORTO,32.700,19.800,17,1.267,Disponivel,Consultar,650,C23
Auto,ITAU,32.900,19.900,37,674,Disponivel,15/09/2025,650,C127
Auto,ITAU,33.900,19.000,41,790,Disponivel,15/09/2025,650,C127
Auto,ITAU,34.000,11.700,41,927,Disponivel,15/09/2025,650,C62
Auto,EMBRACON,34.222,15.132,80,547,Disponivel,20/09/2025,450,C155
Auto,EMBRACON,34.748,15.300,76,530,Disponivel,20/09/2025,500,C155
Auto,PORTO,35.000,14.000,46,872,Disponivel,Consultar,Consultar,C21
Auto,ITAU,35.000,19.900,85,493,Disponivel,05/08/2025,650,C09
Auto,HS,35.300,17.500,69,563,Disponivel,Consultar,490,C23
Auto,ITAU,35.300,18.000,62,01 x 991 + 61 x 589,Disponivel,15/09/2025,650,C62
Auto,PORTO,35.500,15.000,48,2 x 354 + 46 x 817,Disponivel,15/09/2025,Consultar,C07
Auto,HS,35.500,16.800,87,483,Disponivel,Consultar,500,C23
Auto,HS,35.500,16.950,89,469,Disponivel,Consultar,500,C23
Auto,HS,35.500,17.300,96,450,Disponivel,Consultar,500,C23
Auto,ITAU,35.585,11.500,29,1.473,Disponivel,05/10/2025,650,C131
Auto,HS,35.650,17.000,88,475,Disponivel,Consultar,500,C23
Auto,HS,35.650,17.350,93,455,Disponivel,Consultar,500,C23
Auto,HS,35.750,17.450,83,508,Disponivel,Consultar,526,C23
Auto,PORTO,35.800,22.500,38,678,Disponivel,15/09/2025,Consultar,C07
Auto,MYCON,36.000,16.000,75,51 x 640 + 24 x 300,Disponivel,Consultar,Consultar,C84
Auto,SERVOPA,37.050,13.900,36,1.057,Disponivel,Consultar,367,C23
Auto,HS,37.100,16.500,74,604,Disponivel,Consultar,520,C23
Auto,EMBRACON,37.136,15.900,85,560,Disponivel,20/09/2025,500,C155
Auto,HS,37.150,18.450,76,516,Disponivel,Consultar,520,C23
Auto,HS,37.500,17.150,85,524,Disponivel,Consultar,526,C23
Auto,HS,37.600,17.450,79,558,Disponivel,Consultar,521,C23
Auto,HS,37.700,17.450,83,541,Disponivel,Consultar,526,C23
Auto,HS,37.750,18.000,80,506,Disponivel,Consultar,521,C23
Auto,HS,37.950,17.000,57,785,Disponivel,Consultar,545,C23
Auto,SERVOPA,37.950,26.393,34,899,Disponivel,08/09/2025,380,C155
Auto,HS,38.750,18.150,72,584,Disponivel,Consultar,545,C23
Auto,HS,38.950,18.300,62,646,Disponivel,Consultar,540,C23
